"trade_time";"daily_open";"daily_close";"daily_high";"daily_low";"daily_return_percentage";"ma_1hour";"ma_12hour";"volume_intensity_percentage"
"2026-07-01 08:40:00";4006.06;4035.29;4116.25;3960.38;0.729645;3975.655833;3988.433542;74.56
"2026-07-01 08:45:00";4006.06;4035.29;4116.25;3960.38;0.729645;3975.985;3988.117222;84.75
"2026-07-01 08:50:00";4006.06;4035.29;4116.25;3960.38;0.729645;3976.474167;3987.847361;83.89
"2026-07-01 08:55:00";4006.06;4035.29;4116.25;3960.38;0.729645;3976.3525;3987.558958;79.13
"2026-07-01 09:00:00";4006.06;4035.29;4116.25;3960.38;0.729645;3976.646667;3987.263472;92.06
"2026-07-01 09:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;3976.836667;3986.945069;107.7
"2026-07-01 09:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;3976.958333;3986.63875;92.18
"2026-07-01 09:15:00";4006.06;4035.29;4116.25;3960.38;0.729645;3976.611667;3986.365;95.38
"2026-07-01 09:20:00";4006.06;4035.29;4116.25;3960.38;0.729645;3976.465;3986.101181;78.35
"2026-07-01 09:25:00";4006.06;4035.29;4116.25;3960.38;0.729645;3976.471667;3985.863125;78.98
"2026-07-01 09:30:00";4006.06;4035.29;4116.25;3960.38;0.729645;3976.679167;3985.642917;100.23
"2026-07-01 09:35:00";4006.06;4035.29;4116.25;3960.38;0.729645;3977.440833;3985.443819;69.33
"2026-07-01 09:40:00";4006.06;4035.29;4116.25;3960.38;0.729645;3977.845833;3985.239097;78.61
"2026-07-01 09:45:00";4006.06;4035.29;4116.25;3960.38;0.729645;3978.731667;3985.063472;83.67
"2026-07-01 09:50:00";4006.06;4035.29;4116.25;3960.38;0.729645;3979.389167;3984.885833;107.23
"2026-07-01 09:55:00";4006.06;4035.29;4116.25;3960.38;0.729645;3980.211667;3984.724167;85.68
"2026-07-01 10:00:00";4006.06;4035.29;4116.25;3960.38;0.729645;3981.2875;3984.544653;112.1
"2026-07-01 10:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;3982.458333;3984.340625;107.35
"2026-07-01 10:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;3983.173333;3984.129444;99.21
"2026-07-01 10:15:00";4006.06;4035.29;4116.25;3960.38;0.729645;3983.475833;3983.903681;102.63
"2026-07-01 10:20:00";4006.06;4035.29;4116.25;3960.38;0.729645;3984.103333;3983.708194;83.71
"2026-07-01 10:25:00";4006.06;4035.29;4116.25;3960.38;0.729645;3984.806667;3983.523403;93.47
"2026-07-01 10:30:00";4006.06;4035.29;4116.25;3960.38;0.729645;3985.734167;3983.356667;118.74
"2026-07-01 10:35:00";4006.06;4035.29;4116.25;3960.38;0.729645;3986.376667;3983.171042;137.65
"2026-07-01 10:40:00";4006.06;4035.29;4116.25;3960.38;0.729645;3986.845;3982.985;101.42
"2026-07-01 10:45:00";4006.06;4035.29;4116.25;3960.38;0.729645;3987.321667;3982.833611;66.41
"2026-07-01 10:50:00";4006.06;4035.29;4116.25;3960.38;0.729645;3988.035;3982.70875;88.42
"2026-07-01 10:55:00";4006.06;4035.29;4116.25;3960.38;0.729645;3989.205833;3982.607639;82.99
"2026-07-01 11:00:00";4006.06;4035.29;4116.25;3960.38;0.729645;3990.74;3982.567292;171.42
"2026-07-01 11:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;3992.623333;3982.518472;113.65
"2026-07-01 11:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;3995.2625;3982.532083;225.86
"2026-07-01 11:15:00";4006.06;4035.29;4116.25;3960.38;0.729645;3998.6575;3982.606111;169.98
"2026-07-01 11:20:00";4006.06;4035.29;4116.25;3960.38;0.729645;4001.955833;3982.706458;168.01
"2026-07-01 11:25:00";4006.06;4035.29;4116.25;3960.38;0.729645;4005.260833;3982.814931;139.54
"2026-07-01 11:30:00";4006.06;4035.29;4116.25;3960.38;0.729645;4008.0325;3982.904028;128.32
"2026-07-01 11:35:00";4006.06;4035.29;4116.25;3960.38;0.729645;4010.95;3983.004514;91.37
"2026-07-01 11:40:00";4006.06;4035.29;4116.25;3960.38;0.729645;4014.4375;3983.143125;125.56
"2026-07-01 11:45:00";4006.06;4035.29;4116.25;3960.38;0.729645;4018.006667;3983.331111;107.23
"2026-07-01 11:50:00";4006.06;4035.29;4116.25;3960.38;0.729645;4021.2275;3983.50625;100.69
"2026-07-01 11:55:00";4006.06;4035.29;4116.25;3960.38;0.729645;4023.890833;3983.677917;94.94
"2026-07-01 12:00:00";4006.06;4035.29;4116.25;3960.38;0.729645;4025.35;3983.797153;137.22
"2026-07-01 12:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;4026.43;3983.906875;110.72
"2026-07-01 12:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;4026.8725;3983.996875;93.53
"2026-07-01 12:15:00";4006.06;4035.29;4116.25;3960.38;0.729645;4027.2925;3984.173819;125.54
"2026-07-01 12:20:00";4006.06;4035.29;4116.25;3960.38;0.729645;4027.6925;3984.341181;129.14
"2026-07-01 12:25:00";4006.06;4035.29;4116.25;3960.38;0.729645;4027.649167;3984.512708;104.62
"2026-07-01 12:30:00";4006.06;4035.29;4116.25;3960.38;0.729645;4028.044167;3984.693194;130.56
"2026-07-01 12:35:00";4006.06;4035.29;4116.25;3960.38;0.729645;4027.990833;3984.852569;137.66
"2026-07-01 12:40:00";4006.06;4035.29;4116.25;3960.38;0.729645;4027.72;3985.056806;113.13
"2026-07-01 12:45:00";4006.06;4035.29;4116.25;3960.38;0.729645;4027.073333;3985.270139;92.64
"2026-07-01 12:50:00";4006.06;4035.29;4116.25;3960.38;0.729645;4026.513333;3985.489375;69.62
"2026-07-01 12:55:00";4006.06;4035.29;4116.25;3960.38;0.729645;4025.88;3985.67125;86.03
"2026-07-01 13:00:00";4006.06;4035.29;4116.25;3960.38;0.729645;4025.73;3985.892986;185.06
"2026-07-01 13:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;4025.288333;3986.124861;138.36
